Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Hood River OR UHF 35mi,KA7HRC Hood Rive,25K,High,444.9,449.9,100.0,100.0,Off
Hood River OR UHF 35mi,NB7M White Salmo,25K,High,443.175,448.175,88.5,88.5,Off
Hood River OR UHF 35mi,AF7YV Hood River,25K,High,440.6,445.6,100.0,100.0,Off
Hood River OR UHF 35mi,W6TQF Mill A Aug,25K,High,440.325,445.325,100.0,100.0,Off
Hood River OR UHF 35mi,KF7LN The Dalles,25K,High,444.7,449.7,100.0,100.0,Off
Hood River OR UHF 35mi,K7RPT Timberline,25K,High,444.225,449.225,100.0,100.0,Off
Hood River OR UHF 35mi,KD7LZN Naches Wh,25K,High,442.475,447.475,210.7,210.7,Off
