Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Hood River OR VHF 35mi,KB7DRX White Sal,25K,High,147.0,147.6,100.0,100.0,Off
Hood River OR VHF 35mi,KB7DRX Underwood,25K,High,147.2,147.79999999999998,100.0,100.0,Off
Hood River OR VHF 35mi,KF7LN Hood River,25K,High,147.1,147.7,100.0,100.0,Off
Hood River OR VHF 35mi,KC7LDD The Dalle,25K,High,146.74,146.14000000000001,100.0,100.0,Off
Hood River OR VHF 35mi,KB7APU  Carson R,25K,High,145.25,144.65,186.2,186.2,Off
Hood River OR VHF 35mi,WA7SAR Trout Lak,25K,High,147.08,147.68,123.0,123.0,Off
Hood River OR VHF 35mi,K7RPT Timberline,25K,High,147.12,147.72,100.0,100.0,Off
Hood River OR VHF 35mi,N7LF Corbett Loo,25K,High,145.41,144.81,100.0,100.0,Off
Hood River OR VHF 35mi,WC7EC Dufur Tygh,25K,High,147.26,147.85999999999999,82.5,82.5,Off
