Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Seattle WA UHF 45mi,WR7DS Mill Creek,25K,High,442.725,447.725,D172,D172,Off
Seattle WA UHF 45mi,W6AV Port Orchar,25K,High,441.575,446.575,100.0,100.0,Off
Seattle WA UHF 45mi,WA7FW Federal Wa,25K,High,442.95,447.95,103.5,103.5,Off
Seattle WA UHF 45mi,WA7HJR Issaquah ,25K,High,444.65,449.65,131.8,131.8,Off
Seattle WA UHF 45mi,K7DNR Issaquah T,25K,High,442.6,447.6,127.3,127.3,Off
Seattle WA UHF 45mi,K7KG Issaquah Ti,25K,High,443.3,448.3,156.7,156.7,Off
Seattle WA UHF 45mi,W7WWI Issaquah E,25K,High,442.025,447.025,110.9,110.9,Off
Seattle WA UHF 45mi,KF7BJI Hobart Ra,25K,High,442.15,447.15,103.5,103.5,Off
Seattle WA UHF 45mi,KE7GFZ Duvall ,25K,High,443.25,448.25,103.5,103.5,Off
Seattle WA UHF 45mi,WW7RA Bremerton ,25K,High,442.65,447.65,103.5,103.5,Off
Seattle WA UHF 45mi,K7PP Bremerton G,25K,High,441.2,446.2,123.0,123.0,Off
Seattle WA UHF 45mi,W7TWA Bremerton ,25K,High,441.5,446.5,100.0,100.0,Off
Seattle WA UHF 45mi,WA7DEM Snohomish,25K,High,442.975,447.975,103.5,103.5,Off
Seattle WA UHF 45mi,KG7QPU Snohomish,25K,High,443.9,448.9,151.4,151.4,Off
Seattle WA UHF 45mi,N7SNO Snoqualmie,25K,High,444.925,449.925,85.4,85.4,Off
Seattle WA UHF 45mi,WW7MST Tacoma ,25K,High,443.675,448.675,103.5,103.5,Off
Seattle WA UHF 45mi,W7TED Tacoma ,25K,High,442.45,447.45,103.5,103.5,Off
Seattle WA UHF 45mi,KB7CNN Puyallup ,25K,High,444.75,449.75,103.5,103.5,Off
Seattle WA UHF 45mi,W7DK Tacoma ,25K,High,440.625,445.625,103.5,103.5,Off
Seattle WA UHF 45mi,K7HW Tacoma ,25K,High,444.175,449.175,103.5,103.5,Off
Seattle WA UHF 45mi,N7UIC Covington ,25K,High,444.9,449.9,103.5,103.5,Off
Seattle WA UHF 45mi,W7EAT Eatonville,25K,High,442.725,447.725,103.5,103.5,Off
Seattle WA UHF 45mi,W7PSE North Bend,25K,High,441.775,446.775,103.5,103.5,Off
Seattle WA UHF 45mi,K7NP University ,25K,High,442.375,447.375,103.5,103.5,Off
Seattle WA UHF 45mi,N7EHP University,25K,High,443.15,448.15,173.8,173.8,Off
Seattle WA UHF 45mi,WA7LAW Everett ,25K,High,444.575,449.575,103.5,103.5,Off
Seattle WA UHF 45mi,W7PSE Sumner Whi,25K,High,443.625,448.625,103.5,103.5,Off
Seattle WA UHF 45mi,WA7WKT Quilcene ,25K,High,444.3,449.3,103.5,103.5,Off
Seattle WA UHF 45mi,W7SKY Sultan ,25K,High,444.125,449.125,103.5,103.5,Off
Seattle WA UHF 45mi,WB0CZA Quilcene ,25K,High,441.125,446.125,123.0,123.0,Off
